Year,CanonicalCategory,Category,Film,FilmId,Nominees,Winner,Detail
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Noose,tt0019217,Richard Barthelmess,,Nickie Elkins
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Patent Leather Kid,tt0018253,Richard Barthelmess,,The Patent Leather Kid
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Last Command,tt0019071,Emil Jannings,TRUE,General Dolgorucki [Grand Duke Sergius Alexander]
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Way of All Flesh,tt0019553,Emil Jannings,TRUE,August Schilling
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,A Ship Comes In,tt0018389,Louise Dresser,,Mrs. Pleznik
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,7th Heaven,tt0018379,Janet Gaynor,TRUE,Diane
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Street Angel,tt0019429,Janet Gaynor,TRUE,Angela
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Sunrise,tt0018455,Janet Gaynor,TRUE,The Wife
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Sadie Thompson,tt0019344,Gloria Swanson,,Sadie Thompson
1927/28,ART DIRECTION,Art Direction,Sunrise,tt0018455,Rochus Gliese,,
1927/28,ART DIRECTION,Art Direction,The Dove,tt0017822,William Cameron Menzies,TRUE,
1927/28,ART DIRECTION,Art Direction,Tempest,tt0019451,William Cameron Menzies,TRUE,
1927/28,ART DIRECTION,Art Direction,7th Heaven,tt0018379,Harry Oliver,,
1927/28,CINEMATOGRAPHY,Cinematography,The Devil Dancer,tt0017806,George Barnes,,
1927/28,CINEMATOGRAPHY,Cinematography,The Magic Flame,tt0018129,George Barnes,,
1927/28,CINEMATOGRAPHY,Cinematography,Sadie Thompson,tt0019344,George Barnes,,
1927/28,CINEMATOGRAPHY,Cinematography,Sunrise,tt0018455,"Charles Rosher, Karl Struss",TRUE,
1927/28,DIRECTING (Comedy Picture),Directing (Comedy Picture),Two Arabian Knights,tt0018515,Lewis Milestone,TRUE,
1927/28,DIRECTING (Comedy Picture),Directing (Comedy Picture),Speedy,tt0019412,Ted Wilde,,
1927/28,DIRECTING (Dramatic Picture),Directing (Dramatic Picture),7th Heaven,tt0018379,Frank Borzage,TRUE,
1927/28,DIRECTING (Dramatic Picture),Directing (Dramatic Picture),Sorrell and Son,tt0018429,Herbert Brenon,,
1927/28,DIRECTING (Dramatic Picture),Directing (Dramatic Picture),The Crowd,tt0018806,King Vidor,,
1927/28,VISUAL EFFECTS,Visual Effects,,,Ralph Hammeras,,
1927/28,VISUAL EFFECTS,Visual Effects,Wings,tt0018578,Roy Pomeroy,TRUE,
1927/28,VISUAL EFFECTS,Visual Effects,,,Nugent Slaughter,,
1927/28,BEST PICTURE,Best Picture,The Racket,tt0019304,The Caddo Company,,
1927/28,BEST PICTURE,Best Picture,7th Heaven,tt0018379,Fox,,
1927/28,BEST PICTURE,Best Picture,Wings,tt0018578,Paramount Famous Lasky,TRUE,
1927/28,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,Sunrise,tt0018455,Fox,TRUE,
1927/28,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,The Crowd,tt0018806,Metro-Goldwyn-Mayer,,
1927/28,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,Chang,tt0017743,Paramount Famous Lasky,,
1927/28,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Jazz Singer,tt0018037,Alfred Cohn,,
1927/28,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Glorious Betsy,tt0018945,Anthony Coldeway,,
1927/28,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),7th Heaven,tt0018379,Benjamin Glazer,TRUE,
1927/28,WRITING (Original Story),Writing (Original Story),The Last Command,tt0019071,Lajos Biro,,
1927/28,WRITING (Original Story),Writing (Original Story),Underworld,tt0018526,Ben Hecht,TRUE,
1927/28,WRITING (Title Writing),Writing (Title Writing),The Private Life of Helen of Troy,tt0017979,Gerald Duffy,,
1927/28,WRITING (Title Writing),Writing (Title Writing),,,Joseph Farnham,TRUE,
1927/28,WRITING (Title Writing),Writing (Title Writing),,,George Marion Jr.,,
1927/28,SPECIAL AWARD,Special Award,The Jazz Singer,tt0018037,Warner Bros.,TRUE,
1927/28,SPECIAL AWARD,Special Award,The Circus,tt0018773,Charles Chaplin,TRUE,
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Thunderbolt,tt0020499,George Bancroft,,Thunderbolt Jim Lang
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,In Old Arizona,tt0020018,Warner Baxter,TRUE,The Cisco Kid
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Alibi,tt0019630,Chester Morris,,"No. 1065, Chick Williams"
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Valiant,tt0020543,Paul Muni,,James Dyke
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Patriot,tt0019257,Lewis Stone,,Count Pahlen
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Madame X,tt0020126,Ruth Chatterton,,Jacqueline Floriot
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Barker,tt0018674,Betty Compson,,Carrie
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Letter,tt0020092,Jeanne Eagels,,Leslie Crosbie
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Divine Lady,tt0019824,Corinne Griffith,,"Emma Hart, Lady Hamilton"
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Broadway Melody,tt0019729,Bessie Love,,Hank Mahoney
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Coquette,tt0019788,Mary Pickford,TRUE,Norma Besant
1928/29,ART DIRECTION,Art Direction,The Patriot,tt0019257,Hans Dreier,,
1928/29,ART DIRECTION,Art Direction,The Bridge of San Luis Rey,tt0019722,Cedric Gibbons,TRUE,
1928/29,ART DIRECTION,Art Direction,Dynamite,tt0019843,Mitchell Leisen,,
1928/29,ART DIRECTION,Art Direction,Alibi,tt0019630,William Cameron Menzies,,
1928/29,ART DIRECTION,Art Direction,The Awakening,tt0018666,William Cameron Menzies,,
1928/29,ART DIRECTION,Art Direction,Street Angel,tt0019429,Harry Oliver,,
1928/29,CINEMATOGRAPHY,Cinematography,Our Dancing Daughters,tt0019237,George Barnes,,
1928/29,CINEMATOGRAPHY,Cinematography,White Shadows in the South Seas,tt0019574,Clyde De Vinna,TRUE,
1928/29,CINEMATOGRAPHY,Cinematography,In Old Arizona,tt0020018,Arthur Edeson,,
1928/29,CINEMATOGRAPHY,Cinematography,Four Devils,tt0018907,Ernest Palmer,,
1928/29,CINEMATOGRAPHY,Cinematography,Street Angel,tt0019429,Ernest Palmer,,
1928/29,CINEMATOGRAPHY,Cinematography,The Divine Lady,tt0019824,John Seitz,,
1928/29,DIRECTING,Directing,Madame X,tt0020126,Lionel Barrymore,,
1928/29,DIRECTING,Directing,The Broadway Melody,tt0019729,Harry Beaumont,,
1928/29,DIRECTING,Directing,In Old Arizona,tt0020018,Irving Cummings,,
1928/29,DIRECTING,Directing,The Divine Lady,tt0019824,Frank Lloyd,TRUE,
1928/29,DIRECTING,Directing,Drag,tt0019833,Frank Lloyd,,
1928/29,DIRECTING,Directing,Weary River,tt0019557,Frank Lloyd,,
1928/29,DIRECTING,Directing,The Patriot,tt0019257,Ernst Lubitsch,,
1928/29,BEST PICTURE,Best Picture,Alibi,tt0019630,Feature Productions,,
1928/29,BEST PICTURE,Best Picture,In Old Arizona,tt0020018,Fox,,
1928/29,BEST PICTURE,Best Picture,The Broadway Melody,tt0019729,Metro-Goldwyn-Mayer,TRUE,
1928/29,BEST PICTURE,Best Picture,Hollywood Revue,tt0019993,Metro-Goldwyn-Mayer,,
1928/29,BEST PICTURE,Best Picture,The Patriot,tt0019257,Paramount Famous Lasky,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),In Old Arizona,tt0020018,Tom Barry,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Valiant,tt0020543,Tom Barry,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Cop,tt0018792,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Leatherneck,tt0020088,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Sal of Singapore,tt0019348,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Skyscraper,tt0019398,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Last of Mrs. Cheyney,tt0020081,Hans Kraly,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Patriot,tt0019257,Hans Kraly,TRUE,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Our Dancing Daughters,tt0019237,Josephine Lovett,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),A Woman of Affairs,tt0019591,Bess Meredyth,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Wonder of Women,tt0020603,Bess Meredyth,,
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Disraeli,tt0019823,George Arliss,TRUE,Benjamin Disraeli
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Green Goddess,tt0020938,George Arliss,,"Oxonian, the Rajah of Rukh"
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Big House,tt0020686,Wallace Beery,,Machine Gun' Butch Schmidt
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Big Pond,tt0020690,Maurice Chevalier,,Pierre Mirande
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Love Parade,tt0020112,Maurice Chevalier,,Count Alfred Renard
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Bulldog Drummond,tt0019735,Ronald Colman,,Hugh 'Bulldog' Drummond
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Condemned,tt0019785,Ronald Colman,,Michel
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Rogue Song,tt0021307,Lawrence Tibbett,,Yegor
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Devil's Holiday,tt0020823,Nancy Carroll,,Hallie Hobart
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Sarah and Son,tt0021335,Ruth Chatterton,,Sarah Storm
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Anna Christie,tt0020641,Greta Garbo,,Anna Christie
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Romance,tt0021310,Greta Garbo,,Madame Rita Cavallini
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Divorcee,tt0020827,Norma Shearer,TRUE,Jerry
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Their Own Desire,tt0020488,Norma Shearer,,Lucia 'Lally' Marlett
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Trespasser,tt0020514,Gloria Swanson,,Marion Donnell
1929/30,ART DIRECTION,Art Direction,Bulldog Drummond,tt0019735,William Cameron Menzies,,
1929/30,ART DIRECTION,Art Direction,King of Jazz,tt0021025,Herman Rosse,TRUE,
1929/30,ART DIRECTION,Art Direction,The Love Parade,tt0020112,Hans Dreier,,
1929/30,ART DIRECTION,Art Direction,Sally,tt0020358,Jack Okey,,
1929/30,ART DIRECTION,Art Direction,The Vagabond King,tt0021511,Hans Dreier,,
1929/30,CINEMATOGRAPHY,Cinematography,All Quiet on the Western Front,tt0020629,Arthur Edeson,,
1929/30,CINEMATOGRAPHY,Cinematography,Anna Christie,tt0020641,William Daniels,,
1929/30,CINEMATOGRAPHY,Cinematography,Hell's Angels,tt0020960,"Gaetano Gaudio, Harry Perry",,
1929/30,CINEMATOGRAPHY,Cinematography,The Love Parade,tt0020112,Victor Milner,,
1929/30,CINEMATOGRAPHY,Cinematography,With Byrd at the South Pole,tt0020594,"Joseph T. Rucker, Willard Van Der Veer",TRUE,
1929/30,DIRECTING,Directing,Anna Christie,tt0020641,Clarence Brown,,
1929/30,DIRECTING,Directing,Romance,tt0021310,Clarence Brown,,
1929/30,DIRECTING,Directing,The Divorcee,tt0020827,Robert Leonard,,
1929/30,DIRECTING,Directing,The Love Parade,tt0020112,Ernst Lubitsch,,
1929/30,DIRECTING,Directing,All Quiet on the Western Front,tt0020629,Lewis Milestone,TRUE,
1929/30,DIRECTING,Directing,Hallelujah,tt0019959,King Vidor,,
1929/30,BEST PICTURE,Best Picture,All Quiet on the Western Front,tt0020629,Universal,TRUE,
1929/30,BEST PICTURE,Best Picture,The Big House,tt0020686,Cosmopolitan,,
1929/30,BEST PICTURE,Best Picture,Disraeli,tt0019823,Warner Bros.,,
1929/30,BEST PICTURE,Best Picture,The Divorcee,tt0020827,Metro-Goldwyn-Mayer,,
1929/30,BEST PICTURE,Best Picture,The Love Parade,tt0020112,Paramount Famous Lasky,,
1929/30,SOUND RECORDING,Sound Recording,The Big House,tt0020686,"Metro-Goldwyn-Mayer, Douglas Shearer",TRUE,
1929/30,SOUND RECORDING,Sound Recording,The Case of Sergeant Grischa,tt0020744,"RKO Radio, John Tribby",,
1929/30,SOUND RECORDING,Sound Recording,The Love Parade,tt0020112,"Paramount Famous Lasky, Franklin Hansen",,
1929/30,SOUND RECORDING,Sound Recording,Raffles,tt0021281,"United Artists, Oscar Lagerstrom",,
1929/30,SOUND RECORDING,Sound Recording,Song of the Flame,tt0021404,"First National, George Groves",,
1929/30,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),All Quiet on the Western Front,tt0020629,"George Abbott, Maxwell Anderson, Del Andrews",,
1929/30,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Big House,tt0020686,Frances Marion,TRUE,
1929/30,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Disraeli,tt0019823,Julian Josephson,,
1929/30,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Divorcee,tt0020827,John Meehan,,
1929/30,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Street of Chance,tt0021420,Howard Estabrook,,
1930/31,ACTOR IN A LEADING ROLE,Actor in a Leading Role,A Free Soul,tt0021885,Lionel Barrymore,TRUE,Stephen Ashe
1930/31,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Skippy,tt0022397,Jackie Cooper,,Skippy Skinner
1930/31,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Cimarron,tt0021746,Richard Dix,,Yancey Cravat
1930/31,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Royal Family of Broadway,tt0021322,Fredric March,,Tony Cavendish
1930/31,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Front Page,tt0021890,Adolphe Menjou,,Walter Burns
1930/31,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Morocco,tt0021156,Marlene Dietrich,,Amy Jolly
1930/31,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Min and Bill,tt0021148,Marie Dressler,TRUE,Min
1930/31,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Cimarron,tt0021746,Irene Dunne,,Sabra Cravat
1930/31,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Holiday,tt0020985,Ann Harding,,Linda Seton
1930/31,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,A Free Soul,tt0021885,Norma Shearer,,Jan Ashe
1930/31,ART DIRECTION,Art Direction,Cimarron,tt0021746,Max Rée,TRUE,
1930/31,ART DIRECTION,Art Direction,Just Imagine,tt0021016,"Stephen Goosson, Ralph Hammeras",,
1930/31,ART DIRECTION,Art Direction,Morocco,tt0021156,Hans Dreier,,
1930/31,ART DIRECTION,Art Direction,Svengali,tt0022454,Anton Grot,,
1930/31,ART DIRECTION,Art Direction,Whoopee!,tt0021549,Richard Day,,
1930/31,CINEMATOGRAPHY,Cinematography,Cimarron,tt0021746,Edward Cronjager,,
1930/31,CINEMATOGRAPHY,Cinematography,Morocco,tt0021156,Lee Garmes,,
1930/31,CINEMATOGRAPHY,Cinematography,The Right to Love,tt0021301,Charles Lang,,
1930/31,CINEMATOGRAPHY,Cinematography,Svengali,tt0022454,"Barney \""Chick\"" McGill",,
1930/31,CINEMATOGRAPHY,Cinematography,Tabu,tt0022458,Floyd Crosby,TRUE,
1930/31,DIRECTING,Directing,Cimarron,tt0021746,Wesley Ruggles,,
1930/31,DIRECTING,Directing,A Free Soul,tt0021885,Clarence Brown,,
1930/31,DIRECTING,Directing,The Front Page,tt0021890,Lewis Milestone,,
1930/31,DIRECTING,Directing,Morocco,tt0021156,Josef Von Sternberg,,
1930/31,DIRECTING,Directing,Skippy,tt0022397,Norman Taurog,TRUE,
1930/31,BEST PICTURE,Best Picture,Cimarron,tt0021746,RKO Radio,TRUE,
1930/31,BEST PICTURE,Best Picture,East Lynne,tt0021826,Fox,,
1930/31,BEST PICTURE,Best Picture,The Front Page,tt0021890,The Caddo Company,,
1930/31,BEST PICTURE,Best Picture,Skippy,tt0022397,Paramount Publix,,
1930/31,BEST PICTURE,Best Picture,Trader Horn,tt0022495,Metro-Goldwyn-Mayer,,
1930/31,SOUND RECORDING,Sound Recording,,,Samuel Goldwyn - United Artists,,
1930/31,SOUND RECORDING,Sound Recording,,,Metro-Goldwyn-Mayer,,
1930/31,SOUND RECORDING,Sound Recording,,,Paramount Publix,TRUE,
1930/31,SOUND RECORDING,Sound Recording,,,RKO Radio,,
1930/31,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Cimarron,tt0021746,Howard Estabrook,TRUE,
1930/31,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Criminal Code,tt0021770,"Seton I. Miller, Fred Niblo Jr.",,
1930/31,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Holiday,tt0020985,Horace Jackson,,
1930/31,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Little Caesar,tt0021079,"Francis Faragoh, Robert N. Lee",,
1930/31,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Skippy,tt0022397,"Joseph L. Mankiewicz, Sam Mintz",,
1930/31,WRITING (Original Story),Writing (Original Story),The Dawn Patrol,tt0020815,John Monk Saunders,TRUE,
1930/31,WRITING (Original Story),Writing (Original Story),The Doorway to Hell,tt0020836,Rowland Brown,,
1930/31,WRITING (Original Story),Writing (Original Story),Laughter,tt0021053,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",,
1930/31,WRITING (Original Story),Writing (Original Story),The Public Enemy,tt0022286,"John Bright, Kubec Glasmon",,
1930/31,WRITING (Original Story),Writing (Original Story),Smart Money,tt0022403,"Lucien Hubbard, Joseph Jackson",,
1930/31,SCIENTIFIC OR TECHNICAL AWARD (Class I),Scientific or Technical Award (Class I),,,"ELECTRICAL RESEARCH PRODUCTS INC., RCA-PHOTOPHONE INC. and RKO RADIO PICTURES INC.",TRUE,Sound
1930/31,SCIENTIFIC OR TECHNICAL AWARD (Class I),Scientific or Technical Award (Class I),,,"DuPONT FILM MANUFACTURING CORP., Eastman Kodak Company",TRUE,Film
1930/31,SCIENTIFIC OR TECHNICAL AWARD (Class II),Scientific or Technical Award (Class Ii),,,Fox Film Corp.,TRUE,Sound
1930/31,SCIENTIFIC OR TECHNICAL AWARD (Class III),Scientific or Technical Award (Class Iii),,,Electrical Research Products Inc.,TRUE,Sound
1930/31,SCIENTIFIC OR TECHNICAL AWARD (Class III),Scientific or Technical Award (Class Iii),,,Rko Radio Pictures,TRUE,Sound
1930/31,SCIENTIFIC OR TECHNICAL AWARD (Class III),Scientific or Technical Award (Class Iii),,,Rca-Photophone Inc.,TRUE,Sound
1931/32,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Champ,tt0021730,Wallace Beery,TRUE,Champ
1931/32,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Guardsman,tt0021931,Alfred Lunt,,The Actor
1931/32,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Dr. Jekyll and Mr. Hyde,tt0022835,Fredric March,TRUE,Dr. Henry Jekyll/Mr. Hyde
1931/32,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Emma,tt0022854,Marie Dressler,,Emma
1931/32,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Guardsman,tt0021931,Lynn Fontanne,,The Actress
1931/32,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Sin of Madelon Claudet,tt0022386,Helen Hayes,TRUE,Madelon
1931/32,ART DIRECTION,Art Direction,À Nous la Liberté,tt0022599,Lazare Meerson,,
1931/32,ART DIRECTION,Art Direction,Arrowsmith,tt0021622,Richard Day,,
1931/32,ART DIRECTION,Art Direction,Transatlantic,tt0022500,Gordon Wiles,TRUE,
1931/32,CINEMATOGRAPHY,Cinematography,Arrowsmith,tt0021622,Ray June,,
1931/32,CINEMATOGRAPHY,Cinematography,Dr. Jekyll and Mr. Hyde,tt0022835,Karl Struss,,
1931/32,CINEMATOGRAPHY,Cinematography,Shanghai Express,tt0023458,Lee Garmes,TRUE,
1931/32,DIRECTING,Directing,Bad Girl,tt0021635,Frank Borzage,TRUE,
1931/32,DIRECTING,Directing,The Champ,tt0021730,King Vidor,,
1931/32,DIRECTING,Directing,Shanghai Express,tt0023458,Josef Von Sternberg,,
1931/32,BEST PICTURE,Best Picture,Arrowsmith,tt0021622,Samuel Goldwyn Productions,,
1931/32,BEST PICTURE,Best Picture,Bad Girl,tt0021635,Fox,,
1931/32,BEST PICTURE,Best Picture,The Champ,tt0021730,Metro-Goldwyn-Mayer,,
1931/32,BEST PICTURE,Best Picture,Five Star Final,tt0021873,First National,,
1931/32,BEST PICTURE,Best Picture,Grand Hotel,tt0022958,Metro-Goldwyn-Mayer,TRUE,
1931/32,BEST PICTURE,Best Picture,One Hour with You,tt0023303,Paramount Publix,,
1931/32,BEST PICTURE,Best Picture,Shanghai Express,tt0023458,Paramount Publix,,
1931/32,BEST PICTURE,Best Picture,The Smiling Lieutenant,tt0022074,Paramount Publix,,
1931/32,SHORT FILM (Animated),Short Film (Animated),Flowers and Trees,tt0022899,Walt Disney,TRUE,
1931/32,SHORT FILM (Animated),Short Film (Animated),It's Got Me Again,tt0023067,Leon Schlesinger,,
1931/32,SHORT FILM (Animated),Short Film (Animated),Mickey's Orphans,tt0022147,Walt Disney,,
1931/32,SHORT SUBJECT (Comedy),Short Subject (Comedy),The Loud Mouth,tt0023152,Mack Sennett,,
1931/32,SHORT SUBJECT (Comedy),Short Subject (Comedy),The Music Box,tt0023251,Hal Roach,TRUE,
1931/32,SHORT SUBJECT (Comedy),Short Subject (Comedy),Scratch-As-Catch-Can,tt0276472,RKO Radio,,
1931/32,SHORT SUBJECT (Comedy),Short Subject (Comedy),Stout Hearts and Willing Hands,tt0023517,RKO Radio,,
1931/32,SHORT SUBJECT (Novelty),Short Subject (Novelty),Screen Souvenirs,tt0023441,Paramount Publix,,
1931/32,SHORT SUBJECT (Novelty),Short Subject (Novelty),Swing High,tt0152771,Metro-Goldwyn-Mayer,,
1931/32,SHORT SUBJECT (Novelty),Short Subject (Novelty),Wrestling Swordfish,tt0023711,Mack Sennett,TRUE,
1931/32,SOUND RECORDING,Sound Recording,,,Metro-Goldwyn-Mayer,,
1931/32,SOUND RECORDING,Sound Recording,,,Paramount Publix,TRUE,
1931/32,SOUND RECORDING,Sound Recording,,,RKO Radio,,
1931/32,SOUND RECORDING,Sound Recording,,,"Warner Bros., First National",,
1931/32,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Arrowsmith,tt0021622,Sidney Howard,,
1931/32,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Bad Girl,tt0021635,Edwin Burke,TRUE,
1931/32,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Dr. Jekyll and Mr. Hyde,tt0022835,"Percy Heath, Samuel Hoffenstein",,
1931/32,WRITING (Original Story),Writing (Original Story),The Champ,tt0021730,Frances Marion,TRUE,
1931/32,WRITING (Original Story),Writing (Original Story),Lady and Gent,tt0023109,"Grover Jones, William Slavens McNutt",,
1931/32,WRITING (Original Story),Writing (Original Story),The Star Witness,tt0022430,Lucien Hubbard,,
1931/32,WRITING (Original Story),Writing (Original Story),What Price Hollywood?,tt0023686,"Adela Rogers St. Johns, Jane Murfin",,
1931/32,SPECIAL AWARD,Special Award,,,Walt Disney,TRUE,
1931/32,SCIENTIFIC OR TECHNICAL AWARD (Class II),Scientific or Technical Award (Class Ii),,,Technicolor Motion Picture Corp.,TRUE,Cartoon Process
1931/32,SCIENTIFIC OR TECHNICAL AWARD (Class III),Scientific or Technical Award (Class Iii),,,Eastman Kodak Company,TRUE,Laboratory
1932/33,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Berkeley Square,tt0023794,Leslie Howard,,Peter Standish
1932/33,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Private Life of Henry VIII,tt0024473,Charles Laughton,TRUE,Henry VIII
1932/33,ACTOR IN A LEADING ROLE,Actor in a Leading Role,I Am a Fugitive from a Chain Gang,tt0023042,Paul Muni,,James Allen
1932/33,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Morning Glory,tt0024353,Katharine Hepburn,TRUE,Eva Lovelace
1932/33,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Lady for a Day,tt0024240,May Robson,,Apple Annie
1932/33,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Cavalcade,tt0023876,Diana Wynyard,,Jane Marryot
1932/33,ART DIRECTION,Art Direction,Cavalcade,tt0023876,William S. Darling,TRUE,
1932/33,ART DIRECTION,Art Direction,A Farewell to Arms,tt0022879,"Hans Dreier, Roland Anderson",,
1932/33,ART DIRECTION,Art Direction,When Ladies Meet,tt0024763,Cedric Gibbons,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Percy Ikerd,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,William Tummel,TRUE,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Charles Dorian,TRUE,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Bunny Dull,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,John S. Waters,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Charles Barton,TRUE,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Sidney S. Brod,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Arthur Jacobson,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Eddie Killey,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Dewey Starkey,TRUE,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Fred Fox,TRUE,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Benjamin Silvey,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Scott Beal,TRUE,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Joe McDonough,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,W. J. Reiter,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Al Alborn,,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Gordon Hollingshead,TRUE,
1932/33,ASSISTANT DIRECTOR,Assistant Director,,,Frank X. Shaw,,
1932/33,CINEMATOGRAPHY,Cinematography,A Farewell to Arms,tt0022879,Charles Bryant Lang Jr.,TRUE,
